time,close,high,low,open,volumefrom,volumeto
2024-08-03 03:00:00,0,0,0,0,0,0
2024-08-03 04:00:00,0,0,0,0,0,0
2024-08-03 05:00:00,0,0,0,0,0,0
2024-08-03 06:00:00,0,0,0,0,0,0
2024-08-03 07:00:00,0,0,0,0,0,0
2024-08-03 08:00:00,0,0,0,0,0,0
2024-08-03 09:00:00,0,0,0,0,0,0
2024-08-03 10:00:00,0,0,0,0,0,0
2024-08-03 11:00:00,0,0,0,0,0,0
2024-08-03 12:00:00,0,0,0,0,0,0
2024-08-03 13:00:00,0,0,0,0,0,0
2024-08-03 14:00:00,0,0,0,0,0,0
2024-08-03 15:00:00,0,0,0,0,0,0
2024-08-03 16:00:00,0,0,0,0,0,0
2024-08-03 17:00:00,0,0,0,0,0,0
2024-08-03 18:00:00,0,0,0,0,0,0
2024-08-03 19:00:00,0,0,0,0,0,0
2024-08-03 20:00:00,0,0,0,0,0,0
2024-08-03 21:00:00,0,0,0,0,0,0
2024-08-03 22:00:00,0,0,0,0,0,0
2024-08-03 23:00:00,0,0,0,0,0,0
2024-08-04 00:00:00,0,0,0,0,0,0
2024-08-04 01:00:00,0,0,0,0,0,0
2024-08-04 02:00:00,0,0,0,0,0,0
2024-08-04 03:00:00,0,0,0,0,0,0
2024-08-04 04:00:00,0,0,0,0,0,0
2024-08-04 05:00:00,0,0,0,0,0,0
2024-08-04 06:00:00,0,0,0,0,0,0
2024-08-04 07:00:00,0,0,0,0,0,0
2024-08-04 08:00:00,0,0,0,0,0,0
2024-08-04 09:00:00,0,0,0,0,0,0
2024-08-04 10:00:00,0,0,0,0,0,0
2024-08-04 11:00:00,0,0,0,0,0,0
2024-08-04 12:00:00,0,0,0,0,0,0
2024-08-04 13:00:00,0,0,0,0,0,0
2024-08-04 14:00:00,0,0,0,0,0,0
2024-08-04 15:00:00,0,0,0,0,0,0
2024-08-04 16:00:00,0,0,0,0,0,0
2024-08-04 17:00:00,0,0,0,0,0,0
2024-08-04 18:00:00,0,0,0,0,0,0
2024-08-04 19:00:00,0,0,0,0,0,0
2024-08-04 20:00:00,0,0,0,0,0,0
2024-08-04 21:00:00,0,0,0,0,0,0
2024-08-04 22:00:00,0,0,0,0,0,0
2024-08-04 23:00:00,0,0,0,0,0,0
2024-08-05 00:00:00,0,0,0,0,0,0
2024-08-05 01:00:00,0,0,0,0,0,0
2024-08-05 02:00:00,0,0,0,0,0,0
2024-08-05 03:00:00,0,0,0,0,0,0
2024-08-05 04:00:00,0,0,0,0,0,0
2024-08-05 05:00:00,0,0,0,0,0,0
